Step,StepsFunctional,numEpisodes,EvalScore,GPU_mem,taskIdx,EpisodeScore,Loss,FPS
1000,8000,104,0.3,147.90625,0,2,2.3132997782401987,16
2000,16000,154,0.3,100.66552734375,0,3,0.22265417660831027,9
3000,24000,205,0.0,149.11474609375,0,3,0.08451293415203694,7
4000,32000,258,0.0,167.75244140625,0,3,0.06555891803087432,7
5000,40000,308,0.3,157.65185546875,0,2,0.062087395258509724,7
6000,48000,359,0.2,160.00830078125,0,0,0.06441887982701887,7
7000,56000,411,0.3,200.94775390625,0,3,0.06511648247111583,6
8000,64000,459,0.2,112.876953125,0,5,0.07067311319941665,6
9000,72000,509,0.5,189.19189453125,0,7,0.07553051084000621,6
10000,80000,562,0.2,161.89013671875,0,-100,0.09420847138972019,6
