EvalScore,taskIdx,StepsFunctional,Loss,EpisodeScore,GPU_mem,Step,numEpisodes,FPS
0.3,3,8000,2.496294376718656,0,150.9814453125,1000,117,28
0.3,3,16000,0.30009132613160233,2,159.025390625,2000,173,22
0.3,3,24000,0.13643861039041075,0,98.7841796875,3000,231,20
0.3,3,32000,0.1704840361715757,3,120.44970703125,4000,288,20
0.3,3,40000,0.15060246576147604,3,149.9013671875,5000,344,19
0.3,3,48000,0.15860854896565432,3,194.3349609375,6000,400,19
0.3,3,56000,0.09846202636801174,2,72.85791015625,7000,457,19
0.3,3,64000,0.09940090642788006,0,210.0009765625,8000,512,18
0.2,3,72000,0.11309043301315977,3,151.9921875,9000,565,18
0.2,3,80000,0.10175913868332263,0,174.193359375,10000,614,17
