action,landmark,variation,order,goal,task_id
open door to hallway,False,9,0,Your task is to boil apple juice,task-1-boil
go to hallway,False,9,1,Your task is to boil apple juice,task-1-boil
open door to kitchen,True,9,2,Your task is to boil apple juice,task-1-boil
go to kitchen,True,9,3,Your task is to boil apple juice,task-1-boil
pick up thermometer,True,9,4,Your task is to boil apple juice,task-1-boil
open cupboard,True,9,5,Your task is to boil apple juice,task-1-boil
pick up metal pot,True,9,6,Your task is to boil apple juice,task-1-boil
open freezer,True,9,7,Your task is to boil apple juice,task-1-boil
open drawer in counter,False,9,8,Your task is to boil apple juice,task-1-boil
open oven,False,9,9,Your task is to boil apple juice,task-1-boil
open glass jar,False,9,10,Your task is to boil apple juice,task-1-boil
open fridge,True,9,11,Your task is to boil apple juice,task-1-boil
focus on apple juice,True,9,12,Your task is to boil apple juice,task-1-boil
pour jug into metal pot,False,9,13,Your task is to boil apple juice,task-1-boil
pick up metal pot,True,9,14,Your task is to boil apple juice,task-1-boil
move metal pot to stove,True,9,15,Your task is to boil apple juice,task-1-boil
activate stove,True,9,16,Your task is to boil apple juice,task-1-boil
pick up metal pot,True,9,17,Your task is to boil apple juice,task-1-boil
open door to outside,False,9,18,Your task is to boil apple juice,task-1-boil
go to outside,False,9,19,Your task is to boil apple juice,task-1-boil
open door to foundry,False,9,20,Your task is to boil apple juice,task-1-boil
go to foundry,False,9,21,Your task is to boil apple juice,task-1-boil
open blast furnace,False,9,22,Your task is to boil apple juice,task-1-boil
move metal pot to blast furnace,False,9,23,Your task is to boil apple juice,task-1-boil
activate blast furnace,False,9,24,Your task is to boil apple juice,task-1-boil
examine apple juice,True,9,25,Your task is to boil apple juice,task-1-boil
use thermometer in inventory on apple juice,True,9,26,Your task is to boil apple juice,task-1-boil
examine apple juice,True,9,27,Your task is to boil apple juice,task-1-boil
use thermometer in inventory on apple juice,True,9,28,Your task is to boil apple juice,task-1-boil
