action,landmark,variation,order,goal,task_id
open door to kitchen,True,28,0,Your task is to boil caesium,task-1-boil
go to kitchen,True,28,1,Your task is to boil caesium,task-1-boil
pick up thermometer,True,28,2,Your task is to boil caesium,task-1-boil
open cupboard,True,28,3,Your task is to boil caesium,task-1-boil
pick up metal pot,True,28,4,Your task is to boil caesium,task-1-boil
open freezer,True,28,5,Your task is to boil caesium,task-1-boil
open glass jar,True,28,6,Your task is to boil caesium,task-1-boil
open oven,True,28,7,Your task is to boil caesium,task-1-boil
open drawer in cupboard,True,28,8,Your task is to boil caesium,task-1-boil
open drawer in counter,True,28,9,Your task is to boil caesium,task-1-boil
open fridge,True,28,10,Your task is to boil caesium,task-1-boil
open door to bathroom,True,28,11,Your task is to boil caesium,task-1-boil
go to bathroom,True,28,12,Your task is to boil caesium,task-1-boil
open door to kitchen,True,28,13,Your task is to boil caesium,task-1-boil
go to kitchen,True,28,14,Your task is to boil caesium,task-1-boil
open door to outside,True,28,15,Your task is to boil caesium,task-1-boil
go to outside,True,28,16,Your task is to boil caesium,task-1-boil
open door to foundry,True,28,17,Your task is to boil caesium,task-1-boil
go to foundry,True,28,18,Your task is to boil caesium,task-1-boil
open door to outside,True,28,19,Your task is to boil caesium,task-1-boil
go to outside,True,28,20,Your task is to boil caesium,task-1-boil
open door to green house,True,28,21,Your task is to boil caesium,task-1-boil
go to green house,True,28,22,Your task is to boil caesium,task-1-boil
open door to hallway,True,28,23,Your task is to boil caesium,task-1-boil
go to hallway,True,28,24,Your task is to boil caesium,task-1-boil
open door to workshop,True,28,25,Your task is to boil caesium,task-1-boil
go to workshop,True,28,26,Your task is to boil caesium,task-1-boil
pick up caesium,True,28,27,Your task is to boil caesium,task-1-boil
open door to hallway,True,28,28,Your task is to boil caesium,task-1-boil
go to hallway,True,28,29,Your task is to boil caesium,task-1-boil
open door to kitchen,True,28,30,Your task is to boil caesium,task-1-boil
go to kitchen,True,28,31,Your task is to boil caesium,task-1-boil
focus on caesium,True,28,32,Your task is to boil caesium,task-1-boil
move caesium to metal pot,True,28,33,Your task is to boil caesium,task-1-boil
