action,landmark,variation,order,goal,task_id
open door to kitchen,True,21,0,Your task is to boil lead,task-1-boil
go to kitchen,True,21,1,Your task is to boil lead,task-1-boil
pick up thermometer,True,21,2,Your task is to boil lead,task-1-boil
open cupboard,True,21,3,Your task is to boil lead,task-1-boil
pick up metal pot,True,21,4,Your task is to boil lead,task-1-boil
open glass jar,True,21,5,Your task is to boil lead,task-1-boil
open freezer,True,21,6,Your task is to boil lead,task-1-boil
open drawer in counter,True,21,7,Your task is to boil lead,task-1-boil
open drawer in cupboard,True,21,8,Your task is to boil lead,task-1-boil
open fridge,True,21,9,Your task is to boil lead,task-1-boil
open oven,True,21,10,Your task is to boil lead,task-1-boil
open door to bathroom,True,21,11,Your task is to boil lead,task-1-boil
go to bathroom,True,21,12,Your task is to boil lead,task-1-boil
open door to kitchen,True,21,13,Your task is to boil lead,task-1-boil
go to kitchen,True,21,14,Your task is to boil lead,task-1-boil
open door to outside,True,21,15,Your task is to boil lead,task-1-boil
go to outside,True,21,16,Your task is to boil lead,task-1-boil
open door to foundry,True,21,17,Your task is to boil lead,task-1-boil
go to foundry,True,21,18,Your task is to boil lead,task-1-boil
open door to outside,True,21,19,Your task is to boil lead,task-1-boil
go to outside,True,21,20,Your task is to boil lead,task-1-boil
open door to green house,True,21,21,Your task is to boil lead,task-1-boil
go to green house,True,21,22,Your task is to boil lead,task-1-boil
open door to hallway,True,21,23,Your task is to boil lead,task-1-boil
go to hallway,True,21,24,Your task is to boil lead,task-1-boil
open door to workshop,True,21,25,Your task is to boil lead,task-1-boil
go to workshop,True,21,26,Your task is to boil lead,task-1-boil
pick up lead,True,21,27,Your task is to boil lead,task-1-boil
open door to hallway,True,21,28,Your task is to boil lead,task-1-boil
go to hallway,True,21,29,Your task is to boil lead,task-1-boil
open door to kitchen,True,21,30,Your task is to boil lead,task-1-boil
go to kitchen,True,21,31,Your task is to boil lead,task-1-boil
focus on lead,True,21,32,Your task is to boil lead,task-1-boil
move lead to metal pot,True,21,33,Your task is to boil lead,task-1-boil
pick up metal pot,True,21,34,Your task is to boil lead,task-1-boil
move metal pot to stove,True,21,35,Your task is to boil lead,task-1-boil
activate stove,True,21,36,Your task is to boil lead,task-1-boil
pick up metal pot,True,21,37,Your task is to boil lead,task-1-boil
open door to outside,True,21,38,Your task is to boil lead,task-1-boil
go to outside,True,21,39,Your task is to boil lead,task-1-boil
open door to foundry,True,21,40,Your task is to boil lead,task-1-boil
go to foundry,True,21,41,Your task is to boil lead,task-1-boil
open blast furnace,True,21,42,Your task is to boil lead,task-1-boil
move metal pot to blast furnace,True,21,43,Your task is to boil lead,task-1-boil
activate blast furnace,True,21,44,Your task is to boil lead,task-1-boil
examine lead,True,21,45,Your task is to boil lead,task-1-boil
use thermometer in inventory on lead,True,21,46,Your task is to boil lead,task-1-boil
examine lead,True,21,47,Your task is to boil lead,task-1-boil
use thermometer in inventory on lead,True,21,48,Your task is to boil lead,task-1-boil
examine lead,True,21,49,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,50,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,51,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,52,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,53,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,54,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,55,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,56,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,57,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,58,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,59,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,60,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,61,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,62,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,63,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,64,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,65,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,66,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,67,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,68,Your task is to boil lead,task-1-boil
examine liquid lead,True,21,69,Your task is to boil lead,task-1-boil
use thermometer in inventory on liquid lead,True,21,70,Your task is to boil lead,task-1-boil
