action,landmark,variation,order,goal,task_id
open door to kitchen,True,23,0,Your task is to boil tin,task-1-boil
go to kitchen,True,23,1,Your task is to boil tin,task-1-boil
pick up thermometer,True,23,2,Your task is to boil tin,task-1-boil
open cupboard,True,23,3,Your task is to boil tin,task-1-boil
pick up metal pot,True,23,4,Your task is to boil tin,task-1-boil
open drawer in counter,True,23,5,Your task is to boil tin,task-1-boil
open glass jar,True,23,6,Your task is to boil tin,task-1-boil
open drawer in cupboard,True,23,7,Your task is to boil tin,task-1-boil
open freezer,True,23,8,Your task is to boil tin,task-1-boil
open fridge,True,23,9,Your task is to boil tin,task-1-boil
open oven,True,23,10,Your task is to boil tin,task-1-boil
open door to bathroom,True,23,11,Your task is to boil tin,task-1-boil
go to bathroom,True,23,12,Your task is to boil tin,task-1-boil
open door to kitchen,True,23,13,Your task is to boil tin,task-1-boil
go to kitchen,True,23,14,Your task is to boil tin,task-1-boil
open door to outside,True,23,15,Your task is to boil tin,task-1-boil
go to outside,True,23,16,Your task is to boil tin,task-1-boil
open door to foundry,True,23,17,Your task is to boil tin,task-1-boil
go to foundry,True,23,18,Your task is to boil tin,task-1-boil
open door to outside,True,23,19,Your task is to boil tin,task-1-boil
go to outside,True,23,20,Your task is to boil tin,task-1-boil
open door to green house,True,23,21,Your task is to boil tin,task-1-boil
go to green house,True,23,22,Your task is to boil tin,task-1-boil
open door to hallway,True,23,23,Your task is to boil tin,task-1-boil
go to hallway,True,23,24,Your task is to boil tin,task-1-boil
open door to workshop,True,23,25,Your task is to boil tin,task-1-boil
go to workshop,True,23,26,Your task is to boil tin,task-1-boil
pick up substance in cup,False,23,27,Your task is to boil tin,task-1-boil
open door to hallway,True,23,28,Your task is to boil tin,task-1-boil
go to hallway,True,23,29,Your task is to boil tin,task-1-boil
open door to kitchen,True,23,30,Your task is to boil tin,task-1-boil
go to kitchen,True,23,31,Your task is to boil tin,task-1-boil
focus on substance in inventory,True,23,32,Your task is to boil tin,task-1-boil
move substance in inventory to metal pot,True,23,33,Your task is to boil tin,task-1-boil
pick up metal pot,True,23,34,Your task is to boil tin,task-1-boil
move metal pot to stove,True,23,35,Your task is to boil tin,task-1-boil
activate stove,True,23,36,Your task is to boil tin,task-1-boil
pick up metal pot,True,23,37,Your task is to boil tin,task-1-boil
open door to outside,True,23,38,Your task is to boil tin,task-1-boil
go to outside,True,23,39,Your task is to boil tin,task-1-boil
open door to foundry,True,23,40,Your task is to boil tin,task-1-boil
go to foundry,True,23,41,Your task is to boil tin,task-1-boil
open blast furnace,True,23,42,Your task is to boil tin,task-1-boil
move metal pot to blast furnace,True,23,43,Your task is to boil tin,task-1-boil
activate blast furnace,True,23,44,Your task is to boil tin,task-1-boil
examine substance in metal pot,True,23,45,Your task is to boil tin,task-1-boil
use thermometer in inventory on substance in metal pot,True,23,46,Your task is to boil tin,task-1-boil
examine substance in metal pot,True,23,47,Your task is to boil tin,task-1-boil
use thermometer in inventory on substance in metal pot,True,23,48,Your task is to boil tin,task-1-boil
examine liquid tin,True,23,49,Your task is to boil tin,task-1-boil
use thermometer in inventory on liquid tin,True,23,50,Your task is to boil tin,task-1-boil
examine liquid tin,True,23,51,Your task is to boil tin,task-1-boil
use thermometer in inventory on liquid tin,True,23,52,Your task is to boil tin,task-1-boil
