action,landmark,variation,order,goal,task_id
open door to kitchen,True,4,0,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
go to kitchen,True,4,1,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
pick up thermometer,True,4,2,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
open cupboard,True,4,3,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
pick up metal pot,True,4,4,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
open drawer in counter,True,4,5,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
open fridge,True,4,6,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
open drawer in cupboard,True,4,7,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
open oven,True,4,8,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
open glass jar,True,4,9,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
open freezer,True,4,10,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
focus on ice,True,4,11,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
move ice to metal pot,True,4,12,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
pick up metal pot,True,4,13,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
move metal pot to stove,True,4,14,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
activate stove,True,4,15,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
examine ice,False,4,16,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
use thermometer in inventory on ice,False,4,17,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
examine ice,False,4,18,Your task is to change the state of matter of ice,task-1-change-the-state-of-matter-of
