action,landmark,variation,order,goal,task_id
open door to hallway,True,14,0,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
go to hallway,True,14,1,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
open door to kitchen,True,14,2,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
go to kitchen,True,14,3,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
pick up thermometer,True,14,4,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
open cupboard,True,14,5,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
pick up metal pot,True,14,6,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
open oven,True,14,7,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
open drawer in cupboard,False,14,8,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
open fridge,True,14,9,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
open freezer,True,14,10,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
focus on ice cream,True,14,11,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
move ice cream to metal pot,True,14,12,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
pick up metal pot,True,14,13,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
move metal pot to stove,True,14,14,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
activate stove,True,14,15,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
examine ice cream,False,14,16,Your task is to change the state of matter of ice cream,task-1-change-the-state-of-matter-of
