action,landmark,variation,order,goal,task_id
open door to outside,True,25,0,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to outside,True,25,1,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to kitchen,True,25,2,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to kitchen,True,25,3,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
pick up thermometer,True,25,4,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open cupboard,True,25,5,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
pick up metal pot,True,25,6,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open drawer in cupboard,True,25,7,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open glass jar,True,25,8,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open fridge,True,25,9,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open drawer in counter,True,25,10,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open oven,True,25,11,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open freezer,True,25,12,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to bathroom,True,25,13,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to bathroom,True,25,14,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to kitchen,True,25,15,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to kitchen,True,25,16,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to outside,True,25,17,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to outside,True,25,18,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to foundry,True,25,19,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to foundry,True,25,20,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to outside,True,25,21,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to outside,True,25,22,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to green house,True,25,23,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to green house,True,25,24,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to hallway,True,25,25,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to hallway,True,25,26,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to workshop,True,25,27,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to workshop,True,25,28,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
pick up cup,True,25,29,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to hallway,True,25,30,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to hallway,True,25,31,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to kitchen,True,25,32,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to kitchen,True,25,33,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
focus on mercury,True,25,34,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
pour cup containing mercury into metal pot,True,25,35,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
pick up metal pot,True,25,36,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open freezer,True,25,37,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
move metal pot to freezer,True,25,38,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,39,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,40,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,41,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,42,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,43,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,44,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,45,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,46,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,47,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,48,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,49,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,50,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,51,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,52,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,53,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,54,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,55,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,56,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,57,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,58,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,59,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,60,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,61,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,62,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,63,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,64,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,65,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,66,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,67,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,68,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,69,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,70,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,71,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,72,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,73,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,74,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,75,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,76,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,77,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,78,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,79,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,80,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,81,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,82,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,83,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,84,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,85,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,86,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,87,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,88,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,89,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,90,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,91,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,92,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,93,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,94,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,95,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,96,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,97,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,98,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
pick up metal pot,True,25,99,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to hallway,True,25,100,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to hallway,True,25,101,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open door to workshop,True,25,102,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
go to workshop,True,25,103,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
open freezer,True,25,104,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
move metal pot to freezer,True,25,105,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,106,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,107,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
wait,True,25,108,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
examine mercury,True,25,109,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
use thermometer in inventory on mercury,True,25,110,Your task is to change the state of matter of mercury,task-1-change-the-state-of-matter-of
