action,landmark,variation,order,goal,task_id
open door to kitchen,True,18,0,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to kitchen,True,18,1,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
pick up thermometer,True,18,2,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open cupboard,True,18,3,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
pick up metal pot,True,18,4,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open fridge,True,18,5,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open drawer in counter,True,18,6,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open glass jar,True,18,7,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open freezer,True,18,8,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open oven,True,18,9,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open drawer in cupboard,True,18,10,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to bathroom,True,18,11,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to bathroom,True,18,12,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to kitchen,True,18,13,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to kitchen,True,18,14,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to outside,True,18,15,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to outside,True,18,16,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to foundry,True,18,17,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to foundry,True,18,18,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to outside,True,18,19,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to outside,True,18,20,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to green house,True,18,21,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to green house,True,18,22,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to hallway,True,18,23,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to hallway,True,18,24,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to workshop,True,18,25,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to workshop,True,18,26,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
pick up rubber,True,18,27,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to hallway,True,18,28,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to hallway,True,18,29,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
open door to kitchen,True,18,30,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
go to kitchen,True,18,31,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
focus on rubber,True,18,32,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
move rubber to metal pot,True,18,33,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
pick up metal pot,True,18,34,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
move metal pot to stove,True,18,35,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
activate stove,True,18,36,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,37,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,38,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,39,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,40,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,41,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,42,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,43,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,44,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,45,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,46,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,47,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,48,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,49,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,50,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,51,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,52,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,53,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,54,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,55,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,56,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,57,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,58,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,59,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,60,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,61,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,62,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,63,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,64,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,65,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,66,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,67,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,68,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,69,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,70,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,71,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,72,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,73,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,74,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,75,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,76,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,77,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
use thermometer in inventory on rubber,True,18,78,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
examine rubber,True,18,79,Your task is to change the state of matter of rubber,task-1-change-the-state-of-matter-of
