action,landmark,variation,order,goal,task_id
open door to kitchen,True,29,0,Your task is to freeze caesium,task-1-freeze
go to kitchen,True,29,1,Your task is to freeze caesium,task-1-freeze
pick up thermometer,True,29,2,Your task is to freeze caesium,task-1-freeze
open cupboard,True,29,3,Your task is to freeze caesium,task-1-freeze
pick up metal pot,True,29,4,Your task is to freeze caesium,task-1-freeze
open drawer in cupboard,True,29,5,Your task is to freeze caesium,task-1-freeze
open freezer,True,29,6,Your task is to freeze caesium,task-1-freeze
open drawer in counter,True,29,7,Your task is to freeze caesium,task-1-freeze
open fridge,True,29,8,Your task is to freeze caesium,task-1-freeze
open oven,True,29,9,Your task is to freeze caesium,task-1-freeze
open glass jar,True,29,10,Your task is to freeze caesium,task-1-freeze
open door to bathroom,True,29,11,Your task is to freeze caesium,task-1-freeze
go to bathroom,True,29,12,Your task is to freeze caesium,task-1-freeze
open door to kitchen,True,29,13,Your task is to freeze caesium,task-1-freeze
go to kitchen,True,29,14,Your task is to freeze caesium,task-1-freeze
open door to outside,True,29,15,Your task is to freeze caesium,task-1-freeze
go to outside,True,29,16,Your task is to freeze caesium,task-1-freeze
open door to foundry,True,29,17,Your task is to freeze caesium,task-1-freeze
go to foundry,True,29,18,Your task is to freeze caesium,task-1-freeze
open door to outside,True,29,19,Your task is to freeze caesium,task-1-freeze
go to outside,True,29,20,Your task is to freeze caesium,task-1-freeze
open door to green house,True,29,21,Your task is to freeze caesium,task-1-freeze
go to green house,True,29,22,Your task is to freeze caesium,task-1-freeze
open door to hallway,True,29,23,Your task is to freeze caesium,task-1-freeze
go to hallway,True,29,24,Your task is to freeze caesium,task-1-freeze
open door to workshop,True,29,25,Your task is to freeze caesium,task-1-freeze
go to workshop,True,29,26,Your task is to freeze caesium,task-1-freeze
pick up caesium,True,29,27,Your task is to freeze caesium,task-1-freeze
open door to hallway,True,29,28,Your task is to freeze caesium,task-1-freeze
go to hallway,True,29,29,Your task is to freeze caesium,task-1-freeze
open door to kitchen,True,29,30,Your task is to freeze caesium,task-1-freeze
go to kitchen,True,29,31,Your task is to freeze caesium,task-1-freeze
focus on caesium,True,29,32,Your task is to freeze caesium,task-1-freeze
move caesium to metal pot,True,29,33,Your task is to freeze caesium,task-1-freeze
pick up metal pot,True,29,34,Your task is to freeze caesium,task-1-freeze
move metal pot to stove,True,29,35,Your task is to freeze caesium,task-1-freeze
activate stove,True,29,36,Your task is to freeze caesium,task-1-freeze
pick up metal pot,True,29,37,Your task is to freeze caesium,task-1-freeze
open door to outside,True,29,38,Your task is to freeze caesium,task-1-freeze
go to outside,True,29,39,Your task is to freeze caesium,task-1-freeze
open door to foundry,True,29,40,Your task is to freeze caesium,task-1-freeze
go to foundry,True,29,41,Your task is to freeze caesium,task-1-freeze
open blast furnace,False,29,42,Your task is to freeze caesium,task-1-freeze
move metal pot to blast furnace,False,29,43,Your task is to freeze caesium,task-1-freeze
activate blast furnace,False,29,44,Your task is to freeze caesium,task-1-freeze
examine liquid caesium,True,29,45,Your task is to freeze caesium,task-1-freeze
use thermometer in inventory on liquid caesium,True,29,46,Your task is to freeze caesium,task-1-freeze
pick up metal pot,True,29,47,Your task is to freeze caesium,task-1-freeze
open door to outside,True,29,48,Your task is to freeze caesium,task-1-freeze
go to outside,True,29,49,Your task is to freeze caesium,task-1-freeze
open door to kitchen,True,29,50,Your task is to freeze caesium,task-1-freeze
go to kitchen,True,29,51,Your task is to freeze caesium,task-1-freeze
pick up metal pot,True,29,52,Your task is to freeze caesium,task-1-freeze
open freezer,True,29,53,Your task is to freeze caesium,task-1-freeze
move metal pot to freezer,True,29,54,Your task is to freeze caesium,task-1-freeze
examine liquid caesium,True,29,55,Your task is to freeze caesium,task-1-freeze
use thermometer in inventory on liquid caesium,True,29,56,Your task is to freeze caesium,task-1-freeze
wait,True,29,57,Your task is to freeze caesium,task-1-freeze
examine liquid caesium,True,29,58,Your task is to freeze caesium,task-1-freeze
use thermometer in inventory on liquid caesium,True,29,59,Your task is to freeze caesium,task-1-freeze
wait,True,29,60,Your task is to freeze caesium,task-1-freeze
examine liquid caesium,True,29,61,Your task is to freeze caesium,task-1-freeze
use thermometer in inventory on liquid caesium,True,29,62,Your task is to freeze caesium,task-1-freeze
wait,True,29,63,Your task is to freeze caesium,task-1-freeze
examine liquid caesium,True,29,64,Your task is to freeze caesium,task-1-freeze
use thermometer in inventory on liquid caesium,True,29,65,Your task is to freeze caesium,task-1-freeze
wait,True,29,66,Your task is to freeze caesium,task-1-freeze
examine liquid caesium,True,29,67,Your task is to freeze caesium,task-1-freeze
