action,landmark,variation,order,goal,task_id
open door to kitchen,True,4,0,Your task is to freeze ice,task-1-freeze
go to kitchen,True,4,1,Your task is to freeze ice,task-1-freeze
pick up thermometer,True,4,2,Your task is to freeze ice,task-1-freeze
open cupboard,True,4,3,Your task is to freeze ice,task-1-freeze
pick up metal pot,True,4,4,Your task is to freeze ice,task-1-freeze
open oven,True,4,5,Your task is to freeze ice,task-1-freeze
open drawer in counter,True,4,6,Your task is to freeze ice,task-1-freeze
open fridge,True,4,7,Your task is to freeze ice,task-1-freeze
open freezer,True,4,8,Your task is to freeze ice,task-1-freeze
focus on ice,True,4,9,Your task is to freeze ice,task-1-freeze
move ice to metal pot,True,4,10,Your task is to freeze ice,task-1-freeze
pick up metal pot,True,4,11,Your task is to freeze ice,task-1-freeze
move metal pot to stove,True,4,12,Your task is to freeze ice,task-1-freeze
activate stove,True,4,13,Your task is to freeze ice,task-1-freeze
examine ice,False,4,14,Your task is to freeze ice,task-1-freeze
use thermometer in inventory on ice,False,4,15,Your task is to freeze ice,task-1-freeze
examine ice,False,4,16,Your task is to freeze ice,task-1-freeze
use thermometer in inventory on substance in metal pot,True,4,17,Your task is to freeze ice,task-1-freeze
pick up metal pot,True,4,18,Your task is to freeze ice,task-1-freeze
pick up metal pot,True,4,19,Your task is to freeze ice,task-1-freeze
open freezer,True,4,20,Your task is to freeze ice,task-1-freeze
move metal pot to freezer,True,4,21,Your task is to freeze ice,task-1-freeze
examine substance in metal pot,True,4,22,Your task is to freeze ice,task-1-freeze
use thermometer in inventory on substance in metal pot,True,4,23,Your task is to freeze ice,task-1-freeze
wait,True,4,24,Your task is to freeze ice,task-1-freeze
examine substance in metal pot,True,4,25,Your task is to freeze ice,task-1-freeze
use thermometer in inventory on substance in metal pot,True,4,26,Your task is to freeze ice,task-1-freeze
wait,True,4,27,Your task is to freeze ice,task-1-freeze
examine substance in metal pot,True,4,28,Your task is to freeze ice,task-1-freeze
use thermometer in inventory on substance in metal pot,True,4,29,Your task is to freeze ice,task-1-freeze
wait,True,4,30,Your task is to freeze ice,task-1-freeze
