action,landmark,variation,order,goal,task_id
open door to kitchen,True,24,0,Your task is to freeze mercury,task-1-freeze
go to kitchen,True,24,1,Your task is to freeze mercury,task-1-freeze
pick up thermometer,True,24,2,Your task is to freeze mercury,task-1-freeze
open cupboard,True,24,3,Your task is to freeze mercury,task-1-freeze
pick up metal pot,True,24,4,Your task is to freeze mercury,task-1-freeze
open fridge,True,24,5,Your task is to freeze mercury,task-1-freeze
open drawer in cupboard,True,24,6,Your task is to freeze mercury,task-1-freeze
open oven,True,24,7,Your task is to freeze mercury,task-1-freeze
open freezer,True,24,8,Your task is to freeze mercury,task-1-freeze
open glass jar,True,24,9,Your task is to freeze mercury,task-1-freeze
open drawer in counter,True,24,10,Your task is to freeze mercury,task-1-freeze
open door to bathroom,True,24,11,Your task is to freeze mercury,task-1-freeze
go to bathroom,True,24,12,Your task is to freeze mercury,task-1-freeze
open door to kitchen,True,24,13,Your task is to freeze mercury,task-1-freeze
go to kitchen,True,24,14,Your task is to freeze mercury,task-1-freeze
open door to outside,True,24,15,Your task is to freeze mercury,task-1-freeze
go to outside,True,24,16,Your task is to freeze mercury,task-1-freeze
open door to foundry,True,24,17,Your task is to freeze mercury,task-1-freeze
go to foundry,True,24,18,Your task is to freeze mercury,task-1-freeze
open door to outside,True,24,19,Your task is to freeze mercury,task-1-freeze
go to outside,True,24,20,Your task is to freeze mercury,task-1-freeze
open door to green house,True,24,21,Your task is to freeze mercury,task-1-freeze
go to green house,True,24,22,Your task is to freeze mercury,task-1-freeze
open door to hallway,True,24,23,Your task is to freeze mercury,task-1-freeze
go to hallway,True,24,24,Your task is to freeze mercury,task-1-freeze
open door to workshop,True,24,25,Your task is to freeze mercury,task-1-freeze
go to workshop,True,24,26,Your task is to freeze mercury,task-1-freeze
pick up cup,True,24,27,Your task is to freeze mercury,task-1-freeze
open door to hallway,True,24,28,Your task is to freeze mercury,task-1-freeze
go to hallway,True,24,29,Your task is to freeze mercury,task-1-freeze
open door to kitchen,True,24,30,Your task is to freeze mercury,task-1-freeze
go to kitchen,True,24,31,Your task is to freeze mercury,task-1-freeze
focus on mercury,True,24,32,Your task is to freeze mercury,task-1-freeze
pour cup containing mercury into metal pot,True,24,33,Your task is to freeze mercury,task-1-freeze
pick up metal pot,True,24,34,Your task is to freeze mercury,task-1-freeze
open freezer,True,24,35,Your task is to freeze mercury,task-1-freeze
move metal pot to freezer,True,24,36,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,37,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,38,Your task is to freeze mercury,task-1-freeze
wait,True,24,39,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,40,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,41,Your task is to freeze mercury,task-1-freeze
wait,True,24,42,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,43,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,44,Your task is to freeze mercury,task-1-freeze
wait,True,24,45,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,46,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,47,Your task is to freeze mercury,task-1-freeze
wait,True,24,48,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,49,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,50,Your task is to freeze mercury,task-1-freeze
wait,True,24,51,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,52,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,53,Your task is to freeze mercury,task-1-freeze
wait,True,24,54,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,55,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,56,Your task is to freeze mercury,task-1-freeze
wait,True,24,57,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,58,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,59,Your task is to freeze mercury,task-1-freeze
wait,True,24,60,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,61,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,62,Your task is to freeze mercury,task-1-freeze
wait,True,24,63,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,64,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,65,Your task is to freeze mercury,task-1-freeze
wait,True,24,66,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,67,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,68,Your task is to freeze mercury,task-1-freeze
wait,True,24,69,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,70,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,71,Your task is to freeze mercury,task-1-freeze
wait,True,24,72,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,73,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,74,Your task is to freeze mercury,task-1-freeze
wait,True,24,75,Your task is to freeze mercury,task-1-freeze
examine mercury,True,24,76,Your task is to freeze mercury,task-1-freeze
use thermometer in inventory on mercury,True,24,77,Your task is to freeze mercury,task-1-freeze
