action,landmark,variation,order,goal,task_id
open door to hallway,True,22,0,Your task is to freeze tin,task-1-freeze
go to hallway,True,22,1,Your task is to freeze tin,task-1-freeze
open door to kitchen,True,22,2,Your task is to freeze tin,task-1-freeze
go to kitchen,True,22,3,Your task is to freeze tin,task-1-freeze
pick up thermometer,True,22,4,Your task is to freeze tin,task-1-freeze
open cupboard,True,22,5,Your task is to freeze tin,task-1-freeze
pick up metal pot,True,22,6,Your task is to freeze tin,task-1-freeze
open glass jar,True,22,7,Your task is to freeze tin,task-1-freeze
open fridge,True,22,8,Your task is to freeze tin,task-1-freeze
open drawer in cupboard,True,22,9,Your task is to freeze tin,task-1-freeze
open freezer,True,22,10,Your task is to freeze tin,task-1-freeze
open drawer in counter,True,22,11,Your task is to freeze tin,task-1-freeze
open oven,True,22,12,Your task is to freeze tin,task-1-freeze
open door to bathroom,True,22,13,Your task is to freeze tin,task-1-freeze
go to bathroom,True,22,14,Your task is to freeze tin,task-1-freeze
open door to kitchen,True,22,15,Your task is to freeze tin,task-1-freeze
go to kitchen,True,22,16,Your task is to freeze tin,task-1-freeze
open door to outside,True,22,17,Your task is to freeze tin,task-1-freeze
go to outside,True,22,18,Your task is to freeze tin,task-1-freeze
open door to foundry,True,22,19,Your task is to freeze tin,task-1-freeze
go to foundry,True,22,20,Your task is to freeze tin,task-1-freeze
open door to outside,True,22,21,Your task is to freeze tin,task-1-freeze
go to outside,True,22,22,Your task is to freeze tin,task-1-freeze
open door to green house,True,22,23,Your task is to freeze tin,task-1-freeze
go to green house,True,22,24,Your task is to freeze tin,task-1-freeze
open door to hallway,True,22,25,Your task is to freeze tin,task-1-freeze
go to hallway,True,22,26,Your task is to freeze tin,task-1-freeze
open door to workshop,True,22,27,Your task is to freeze tin,task-1-freeze
go to workshop,True,22,28,Your task is to freeze tin,task-1-freeze
pick up substance in cup,True,22,29,Your task is to freeze tin,task-1-freeze
open door to hallway,True,22,30,Your task is to freeze tin,task-1-freeze
go to hallway,True,22,31,Your task is to freeze tin,task-1-freeze
open door to kitchen,True,22,32,Your task is to freeze tin,task-1-freeze
go to kitchen,True,22,33,Your task is to freeze tin,task-1-freeze
focus on substance in inventory,True,22,34,Your task is to freeze tin,task-1-freeze
