action,landmark,variation,order,goal,task_id
open door to hallway,True,27,0,Your task is to melt gallium,task-1-melt
go to hallway,True,27,1,Your task is to melt gallium,task-1-melt
open door to kitchen,True,27,2,Your task is to melt gallium,task-1-melt
go to kitchen,True,27,3,Your task is to melt gallium,task-1-melt
pick up thermometer,True,27,4,Your task is to melt gallium,task-1-melt
open cupboard,True,27,5,Your task is to melt gallium,task-1-melt
pick up metal pot,True,27,6,Your task is to melt gallium,task-1-melt
open drawer in cupboard,True,27,7,Your task is to melt gallium,task-1-melt
open drawer in counter,True,27,8,Your task is to melt gallium,task-1-melt
open oven,True,27,9,Your task is to melt gallium,task-1-melt
open fridge,True,27,10,Your task is to melt gallium,task-1-melt
open freezer,True,27,11,Your task is to melt gallium,task-1-melt
open glass jar,True,27,12,Your task is to melt gallium,task-1-melt
open door to bathroom,True,27,13,Your task is to melt gallium,task-1-melt
go to bathroom,True,27,14,Your task is to melt gallium,task-1-melt
open door to kitchen,True,27,15,Your task is to melt gallium,task-1-melt
go to kitchen,True,27,16,Your task is to melt gallium,task-1-melt
open door to outside,True,27,17,Your task is to melt gallium,task-1-melt
go to outside,True,27,18,Your task is to melt gallium,task-1-melt
open door to foundry,True,27,19,Your task is to melt gallium,task-1-melt
go to foundry,True,27,20,Your task is to melt gallium,task-1-melt
open door to outside,True,27,21,Your task is to melt gallium,task-1-melt
go to outside,True,27,22,Your task is to melt gallium,task-1-melt
open door to green house,True,27,23,Your task is to melt gallium,task-1-melt
go to green house,True,27,24,Your task is to melt gallium,task-1-melt
open door to hallway,True,27,25,Your task is to melt gallium,task-1-melt
go to hallway,True,27,26,Your task is to melt gallium,task-1-melt
open door to workshop,True,27,27,Your task is to melt gallium,task-1-melt
go to workshop,True,27,28,Your task is to melt gallium,task-1-melt
pick up gallium,True,27,29,Your task is to melt gallium,task-1-melt
open door to hallway,True,27,30,Your task is to melt gallium,task-1-melt
go to hallway,True,27,31,Your task is to melt gallium,task-1-melt
open door to kitchen,True,27,32,Your task is to melt gallium,task-1-melt
go to kitchen,True,27,33,Your task is to melt gallium,task-1-melt
focus on gallium,True,27,34,Your task is to melt gallium,task-1-melt
move gallium to metal pot,True,27,35,Your task is to melt gallium,task-1-melt
pick up metal pot,True,27,36,Your task is to melt gallium,task-1-melt
move metal pot to stove,True,27,37,Your task is to melt gallium,task-1-melt
activate stove,True,27,38,Your task is to melt gallium,task-1-melt
pick up metal pot,True,27,39,Your task is to melt gallium,task-1-melt
open door to outside,True,27,40,Your task is to melt gallium,task-1-melt
go to outside,True,27,41,Your task is to melt gallium,task-1-melt
open door to foundry,True,27,42,Your task is to melt gallium,task-1-melt
go to foundry,True,27,43,Your task is to melt gallium,task-1-melt
open blast furnace,False,27,44,Your task is to melt gallium,task-1-melt
move metal pot to blast furnace,False,27,45,Your task is to melt gallium,task-1-melt
activate blast furnace,False,27,46,Your task is to melt gallium,task-1-melt
