action,landmark,variation,order,goal,task_id
open door to kitchen,True,20,0,Your task is to melt lead,task-1-melt
go to kitchen,True,20,1,Your task is to melt lead,task-1-melt
pick up thermometer,True,20,2,Your task is to melt lead,task-1-melt
open cupboard,True,20,3,Your task is to melt lead,task-1-melt
pick up metal pot,True,20,4,Your task is to melt lead,task-1-melt
open glass jar,True,20,5,Your task is to melt lead,task-1-melt
open drawer in counter,True,20,6,Your task is to melt lead,task-1-melt
open freezer,True,20,7,Your task is to melt lead,task-1-melt
open fridge,True,20,8,Your task is to melt lead,task-1-melt
open drawer in cupboard,True,20,9,Your task is to melt lead,task-1-melt
open oven,True,20,10,Your task is to melt lead,task-1-melt
open door to bathroom,True,20,11,Your task is to melt lead,task-1-melt
go to bathroom,True,20,12,Your task is to melt lead,task-1-melt
open door to kitchen,True,20,13,Your task is to melt lead,task-1-melt
go to kitchen,True,20,14,Your task is to melt lead,task-1-melt
open door to outside,True,20,15,Your task is to melt lead,task-1-melt
go to outside,True,20,16,Your task is to melt lead,task-1-melt
open door to foundry,True,20,17,Your task is to melt lead,task-1-melt
go to foundry,True,20,18,Your task is to melt lead,task-1-melt
open door to outside,True,20,19,Your task is to melt lead,task-1-melt
go to outside,True,20,20,Your task is to melt lead,task-1-melt
open door to green house,True,20,21,Your task is to melt lead,task-1-melt
go to green house,True,20,22,Your task is to melt lead,task-1-melt
open door to hallway,True,20,23,Your task is to melt lead,task-1-melt
go to hallway,True,20,24,Your task is to melt lead,task-1-melt
open door to workshop,True,20,25,Your task is to melt lead,task-1-melt
go to workshop,True,20,26,Your task is to melt lead,task-1-melt
pick up lead,True,20,27,Your task is to melt lead,task-1-melt
open door to hallway,True,20,28,Your task is to melt lead,task-1-melt
go to hallway,True,20,29,Your task is to melt lead,task-1-melt
open door to kitchen,True,20,30,Your task is to melt lead,task-1-melt
go to kitchen,True,20,31,Your task is to melt lead,task-1-melt
focus on lead,True,20,32,Your task is to melt lead,task-1-melt
move lead to metal pot,True,20,33,Your task is to melt lead,task-1-melt
pick up metal pot,True,20,34,Your task is to melt lead,task-1-melt
move metal pot to stove,True,20,35,Your task is to melt lead,task-1-melt
activate stove,True,20,36,Your task is to melt lead,task-1-melt
examine lead,True,20,37,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,38,Your task is to melt lead,task-1-melt
examine lead,True,20,39,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,40,Your task is to melt lead,task-1-melt
examine lead,True,20,41,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,42,Your task is to melt lead,task-1-melt
examine lead,True,20,43,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,44,Your task is to melt lead,task-1-melt
examine lead,True,20,45,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,46,Your task is to melt lead,task-1-melt
examine lead,True,20,47,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,48,Your task is to melt lead,task-1-melt
examine lead,True,20,49,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,50,Your task is to melt lead,task-1-melt
examine lead,True,20,51,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,52,Your task is to melt lead,task-1-melt
examine lead,True,20,53,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,54,Your task is to melt lead,task-1-melt
examine lead,True,20,55,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,56,Your task is to melt lead,task-1-melt
examine lead,True,20,57,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,58,Your task is to melt lead,task-1-melt
examine lead,True,20,59,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,60,Your task is to melt lead,task-1-melt
examine lead,True,20,61,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,62,Your task is to melt lead,task-1-melt
examine lead,True,20,63,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,64,Your task is to melt lead,task-1-melt
examine lead,True,20,65,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,66,Your task is to melt lead,task-1-melt
examine lead,True,20,67,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,68,Your task is to melt lead,task-1-melt
examine lead,True,20,69,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,70,Your task is to melt lead,task-1-melt
examine lead,True,20,71,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,72,Your task is to melt lead,task-1-melt
examine lead,True,20,73,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,74,Your task is to melt lead,task-1-melt
examine lead,True,20,75,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,76,Your task is to melt lead,task-1-melt
examine lead,True,20,77,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,78,Your task is to melt lead,task-1-melt
examine lead,True,20,79,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,80,Your task is to melt lead,task-1-melt
examine lead,True,20,81,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,82,Your task is to melt lead,task-1-melt
examine lead,True,20,83,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,84,Your task is to melt lead,task-1-melt
examine lead,True,20,85,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,86,Your task is to melt lead,task-1-melt
examine lead,True,20,87,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,88,Your task is to melt lead,task-1-melt
examine lead,True,20,89,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,90,Your task is to melt lead,task-1-melt
examine lead,True,20,91,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,92,Your task is to melt lead,task-1-melt
examine lead,True,20,93,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,94,Your task is to melt lead,task-1-melt
examine lead,True,20,95,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,96,Your task is to melt lead,task-1-melt
pick up metal pot,True,20,97,Your task is to melt lead,task-1-melt
open door to outside,True,20,98,Your task is to melt lead,task-1-melt
go to outside,True,20,99,Your task is to melt lead,task-1-melt
open door to foundry,True,20,100,Your task is to melt lead,task-1-melt
go to foundry,True,20,101,Your task is to melt lead,task-1-melt
open blast furnace,True,20,102,Your task is to melt lead,task-1-melt
move metal pot to blast furnace,True,20,103,Your task is to melt lead,task-1-melt
activate blast furnace,True,20,104,Your task is to melt lead,task-1-melt
examine lead,True,20,105,Your task is to melt lead,task-1-melt
use thermometer in inventory on lead,True,20,106,Your task is to melt lead,task-1-melt
