action,landmark,variation,order,goal,task_id
open door to kitchen,True,23,0,Your task is to melt tin,task-1-melt
go to kitchen,True,23,1,Your task is to melt tin,task-1-melt
pick up thermometer,True,23,2,Your task is to melt tin,task-1-melt
open cupboard,True,23,3,Your task is to melt tin,task-1-melt
pick up metal pot,True,23,4,Your task is to melt tin,task-1-melt
open oven,True,23,5,Your task is to melt tin,task-1-melt
open drawer in cupboard,True,23,6,Your task is to melt tin,task-1-melt
open drawer in counter,True,23,7,Your task is to melt tin,task-1-melt
open freezer,True,23,8,Your task is to melt tin,task-1-melt
open glass jar,True,23,9,Your task is to melt tin,task-1-melt
open fridge,True,23,10,Your task is to melt tin,task-1-melt
open door to bathroom,True,23,11,Your task is to melt tin,task-1-melt
go to bathroom,True,23,12,Your task is to melt tin,task-1-melt
open door to kitchen,True,23,13,Your task is to melt tin,task-1-melt
go to kitchen,True,23,14,Your task is to melt tin,task-1-melt
open door to outside,True,23,15,Your task is to melt tin,task-1-melt
go to outside,True,23,16,Your task is to melt tin,task-1-melt
open door to foundry,True,23,17,Your task is to melt tin,task-1-melt
go to foundry,True,23,18,Your task is to melt tin,task-1-melt
open door to outside,True,23,19,Your task is to melt tin,task-1-melt
go to outside,True,23,20,Your task is to melt tin,task-1-melt
open door to green house,True,23,21,Your task is to melt tin,task-1-melt
go to green house,True,23,22,Your task is to melt tin,task-1-melt
open door to hallway,True,23,23,Your task is to melt tin,task-1-melt
go to hallway,True,23,24,Your task is to melt tin,task-1-melt
open door to workshop,True,23,25,Your task is to melt tin,task-1-melt
go to workshop,True,23,26,Your task is to melt tin,task-1-melt
pick up substance in cup,False,23,27,Your task is to melt tin,task-1-melt
open door to hallway,True,23,28,Your task is to melt tin,task-1-melt
go to hallway,True,23,29,Your task is to melt tin,task-1-melt
open door to kitchen,True,23,30,Your task is to melt tin,task-1-melt
go to kitchen,True,23,31,Your task is to melt tin,task-1-melt
focus on substance in inventory,True,23,32,Your task is to melt tin,task-1-melt
move substance in inventory to metal pot,True,23,33,Your task is to melt tin,task-1-melt
pick up metal pot,True,23,34,Your task is to melt tin,task-1-melt
move metal pot to stove,True,23,35,Your task is to melt tin,task-1-melt
activate stove,True,23,36,Your task is to melt tin,task-1-melt
pick up metal pot,True,23,37,Your task is to melt tin,task-1-melt
open door to outside,True,23,38,Your task is to melt tin,task-1-melt
go to outside,True,23,39,Your task is to melt tin,task-1-melt
open door to foundry,True,23,40,Your task is to melt tin,task-1-melt
go to foundry,True,23,41,Your task is to melt tin,task-1-melt
open blast furnace,True,23,42,Your task is to melt tin,task-1-melt
move metal pot to blast furnace,True,23,43,Your task is to melt tin,task-1-melt
activate blast furnace,True,23,44,Your task is to melt tin,task-1-melt
examine substance in metal pot,True,23,45,Your task is to melt tin,task-1-melt
use thermometer in inventory on substance in metal pot,True,23,46,Your task is to melt tin,task-1-melt
examine substance in metal pot,True,23,47,Your task is to melt tin,task-1-melt
use thermometer in inventory on substance in metal pot,True,23,48,Your task is to melt tin,task-1-melt
