action,landmark,variation,order,goal,task_id
open door to hallway,True,70,0,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
go to hallway,True,70,1,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
open door to kitchen,True,70,2,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
go to kitchen,True,70,3,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
pick up thermometer,True,70,4,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
focus on thermometer in inventory,True,70,5,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
open door to hallway,True,70,6,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
go to hallway,True,70,7,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
open door to living room,True,70,8,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
go to living room,True,70,9,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
pick up metal fork,True,70,10,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
focus on metal fork in inventory,True,70,11,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
use thermometer in inventory on metal fork in inventory,True,70,12,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
move metal fork in inventory to yellow box,False,70,13,"Your task is to measure the temperature of metal fork, which is located around the living room",task-10-use-thermometer
