action,landmark,variation,order,goal,task_id
open door to hallway,False,47,0,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
go to hallway,False,47,1,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
open door to kitchen,False,47,2,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
go to kitchen,False,47,3,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
pick up thermometer,True,47,4,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
focus on thermometer in inventory,True,47,5,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
open door to bathroom,True,47,6,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
go to bathroom,True,47,7,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
pick up sodium chloride,True,47,8,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
focus on sodium chloride in inventory,True,47,9,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
open door to kitchen,False,47,10,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
go to kitchen,False,47,11,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
open door to hallway,False,47,12,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
go to hallway,False,47,13,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
open door to living room,False,47,14,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
go to living room,False,47,15,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
use thermometer in inventory on sodium chloride in inventory,True,47,16,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
move sodium chloride in inventory to blue box,False,47,17,"Your task is to measure the temperature of sodium chloride, which is located around the bathroom",task-10-use-thermometer
