action,landmark,variation,order,goal,task_id
open door to hallway,True,152,0,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
go to hallway,True,152,1,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
open door to kitchen,False,152,2,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
go to kitchen,False,152,3,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
pick up thermometer,True,152,4,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
focus on thermometer in inventory,True,152,5,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
open door to hallway,True,152,6,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
go to hallway,True,152,7,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
open door to bedroom,True,152,8,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
go to bedroom,True,152,9,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
pick up unknown substance B,True,152,10,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
focus on unknown substance B in inventory,True,152,11,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
open door to hallway,True,152,12,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
go to hallway,True,152,13,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
open door to kitchen,False,152,14,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
go to kitchen,False,152,15,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
open door to bathroom,False,152,16,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
go to bathroom,False,152,17,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
use thermometer in inventory on unknown substance B in inventory,True,152,18,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
move unknown substance B in inventory to purple box,False,152,19,"Your task is to measure the temperature of unknown substance B, which is located around the bedroom",task-10-use-thermometer
