action,landmark,variation,order,goal,task_id
open door to hallway,True,491,0,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
go to hallway,True,491,1,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
open door to kitchen,True,491,2,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
go to kitchen,True,491,3,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
pick up thermometer,True,491,4,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
focus on thermometer in inventory,True,491,5,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
open door to hallway,True,491,6,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
go to hallway,True,491,7,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
open door to living room,True,491,8,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
go to living room,True,491,9,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
pick up wood,True,491,10,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
focus on wood in inventory,True,491,11,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
open door to hallway,True,491,12,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
go to hallway,True,491,13,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
open door to kitchen,True,491,14,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
go to kitchen,True,491,15,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
open door to bathroom,False,491,16,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
go to bathroom,False,491,17,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
use thermometer in inventory on wood in inventory,True,491,18,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
move wood in inventory to purple box,False,491,19,"Your task is to measure the temperature of wood, which is located around the living room",task-10-use-thermometer
