action,landmark,variation,order,goal,task_id
open door to outside,False,226,0,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
go to outside,False,226,1,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
open door to green house,False,226,2,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
go to green house,False,226,3,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
open door to hallway,False,226,4,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
go to hallway,False,226,5,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
open door to living room,False,226,6,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
go to living room,False,226,7,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
focus on desk,False,226,8,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
move desk to yellow box,False,226,9,Your task is to find a(n) non-living thing,task-3-find-non-living-thing
