action,landmark,variation,order,goal,task_id
open door to hallway,False,19,0,Your task is to grow a avocado plant from seed,task-4-grow-plant
go to hallway,False,19,1,Your task is to grow a avocado plant from seed,task-4-grow-plant
open door to kitchen,False,19,2,Your task is to grow a avocado plant from seed,task-4-grow-plant
go to kitchen,False,19,3,Your task is to grow a avocado plant from seed,task-4-grow-plant
pick up seed jar,True,19,4,Your task is to grow a avocado plant from seed,task-4-grow-plant
open door to hallway,False,19,5,Your task is to grow a avocado plant from seed,task-4-grow-plant
go to hallway,False,19,6,Your task is to grow a avocado plant from seed,task-4-grow-plant
open door to green house,True,19,7,Your task is to grow a avocado plant from seed,task-4-grow-plant
go to green house,True,19,8,Your task is to grow a avocado plant from seed,task-4-grow-plant
move soil to flower pot 2,False,19,9,Your task is to grow a avocado plant from seed,task-4-grow-plant
move avocado seed in seed jar to flower pot 2,False,19,10,Your task is to grow a avocado plant from seed,task-4-grow-plant
0,True,19,11,Your task is to grow a avocado plant from seed,task-4-grow-plant
focus on avocado seed in flower pot 2,False,19,12,Your task is to grow a avocado plant from seed,task-4-grow-plant
activate sink,True,19,13,Your task is to grow a avocado plant from seed,task-4-grow-plant
move jug to sink,True,19,14,Your task is to grow a avocado plant from seed,task-4-grow-plant
pour jug into flower pot 2,False,19,15,Your task is to grow a avocado plant from seed,task-4-grow-plant
deactivate sink,True,19,16,Your task is to grow a avocado plant from seed,task-4-grow-plant
wait1,True,19,17,Your task is to grow a avocado plant from seed,task-4-grow-plant
wait1,True,19,18,Your task is to grow a avocado plant from seed,task-4-grow-plant
wait1,True,19,19,Your task is to grow a avocado plant from seed,task-4-grow-plant
wait1,True,19,20,Your task is to grow a avocado plant from seed,task-4-grow-plant
wait1,True,19,21,Your task is to grow a avocado plant from seed,task-4-grow-plant
activate sink,True,19,22,Your task is to grow a avocado plant from seed,task-4-grow-plant
move jug to sink,True,19,23,Your task is to grow a avocado plant from seed,task-4-grow-plant
pour jug into flower pot 2,False,19,24,Your task is to grow a avocado plant from seed,task-4-grow-plant
deactivate sink,True,19,25,Your task is to grow a avocado plant from seed,task-4-grow-plant
wait1,True,19,26,Your task is to grow a avocado plant from seed,task-4-grow-plant
wait1,True,19,27,Your task is to grow a avocado plant from seed,task-4-grow-plant
wait1,True,19,28,Your task is to grow a avocado plant from seed,task-4-grow-plant
