action,landmark,variation,order,goal,task_id
pick up seed jar,True,84,0,Your task is to grow a lemon plant from seed,task-4-grow-plant
open door to hallway,False,84,1,Your task is to grow a lemon plant from seed,task-4-grow-plant
go to hallway,False,84,2,Your task is to grow a lemon plant from seed,task-4-grow-plant
open door to green house,True,84,3,Your task is to grow a lemon plant from seed,task-4-grow-plant
go to green house,True,84,4,Your task is to grow a lemon plant from seed,task-4-grow-plant
move lemon seed in seed jar to flower pot 3,False,84,5,Your task is to grow a lemon plant from seed,task-4-grow-plant
0,True,84,6,Your task is to grow a lemon plant from seed,task-4-grow-plant
focus on lemon seed in flower pot 3,False,84,7,Your task is to grow a lemon plant from seed,task-4-grow-plant
activate sink,True,84,8,Your task is to grow a lemon plant from seed,task-4-grow-plant
move jug to sink,True,84,9,Your task is to grow a lemon plant from seed,task-4-grow-plant
pour jug into flower pot 3,False,84,10,Your task is to grow a lemon plant from seed,task-4-grow-plant
deactivate sink,True,84,11,Your task is to grow a lemon plant from seed,task-4-grow-plant
wait1,True,84,12,Your task is to grow a lemon plant from seed,task-4-grow-plant
wait1,True,84,13,Your task is to grow a lemon plant from seed,task-4-grow-plant
wait1,True,84,14,Your task is to grow a lemon plant from seed,task-4-grow-plant
wait1,True,84,15,Your task is to grow a lemon plant from seed,task-4-grow-plant
wait1,True,84,16,Your task is to grow a lemon plant from seed,task-4-grow-plant
activate sink,True,84,17,Your task is to grow a lemon plant from seed,task-4-grow-plant
move jug to sink,True,84,18,Your task is to grow a lemon plant from seed,task-4-grow-plant
pour jug into flower pot 3,False,84,19,Your task is to grow a lemon plant from seed,task-4-grow-plant
deactivate sink,True,84,20,Your task is to grow a lemon plant from seed,task-4-grow-plant
wait1,True,84,21,Your task is to grow a lemon plant from seed,task-4-grow-plant
wait1,True,84,22,Your task is to grow a lemon plant from seed,task-4-grow-plant
wait1,True,84,23,Your task is to grow a lemon plant from seed,task-4-grow-plant
