action,landmark,variation,order,goal,task_id
open door to hallway,False,117,0,Your task is to grow a peach plant from seed,task-4-grow-plant
go to hallway,False,117,1,Your task is to grow a peach plant from seed,task-4-grow-plant
open door to bedroom,False,117,2,Your task is to grow a peach plant from seed,task-4-grow-plant
go to bedroom,False,117,3,Your task is to grow a peach plant from seed,task-4-grow-plant
pick up seed jar,True,117,4,Your task is to grow a peach plant from seed,task-4-grow-plant
open door to hallway,False,117,5,Your task is to grow a peach plant from seed,task-4-grow-plant
go to hallway,False,117,6,Your task is to grow a peach plant from seed,task-4-grow-plant
open door to green house,False,117,7,Your task is to grow a peach plant from seed,task-4-grow-plant
go to green house,False,117,8,Your task is to grow a peach plant from seed,task-4-grow-plant
move peach seed in seed jar to flower pot 2,False,117,9,Your task is to grow a peach plant from seed,task-4-grow-plant
0,True,117,10,Your task is to grow a peach plant from seed,task-4-grow-plant
focus on peach seed in flower pot 2,False,117,11,Your task is to grow a peach plant from seed,task-4-grow-plant
activate sink,True,117,12,Your task is to grow a peach plant from seed,task-4-grow-plant
move jug to sink,True,117,13,Your task is to grow a peach plant from seed,task-4-grow-plant
pour jug into flower pot 2,False,117,14,Your task is to grow a peach plant from seed,task-4-grow-plant
deactivate sink,True,117,15,Your task is to grow a peach plant from seed,task-4-grow-plant
wait1,True,117,16,Your task is to grow a peach plant from seed,task-4-grow-plant
wait1,True,117,17,Your task is to grow a peach plant from seed,task-4-grow-plant
wait1,True,117,18,Your task is to grow a peach plant from seed,task-4-grow-plant
wait1,True,117,19,Your task is to grow a peach plant from seed,task-4-grow-plant
wait1,True,117,20,Your task is to grow a peach plant from seed,task-4-grow-plant
activate sink,True,117,21,Your task is to grow a peach plant from seed,task-4-grow-plant
move jug to sink,True,117,22,Your task is to grow a peach plant from seed,task-4-grow-plant
pour jug into flower pot 2,False,117,23,Your task is to grow a peach plant from seed,task-4-grow-plant
deactivate sink,True,117,24,Your task is to grow a peach plant from seed,task-4-grow-plant
wait1,True,117,25,Your task is to grow a peach plant from seed,task-4-grow-plant
wait1,True,117,26,Your task is to grow a peach plant from seed,task-4-grow-plant
wait1,True,117,27,Your task is to grow a peach plant from seed,task-4-grow-plant
