action,landmark,variation,order,goal,task_id
open door to kitchen,False,13,0,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to kitchen,False,13,1,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,13,2,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,13,3,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to bedroom,False,13,4,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to bedroom,False,13,5,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,13,6,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,13,7,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to workshop,False,13,8,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to workshop,False,13,9,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,13,10,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,13,11,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to art studio,False,13,12,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to art studio,False,13,13,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing red paint in art studio in jug,False,13,14,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing yellow paint in art studio in jug,False,13,15,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
mix jug,False,13,16,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
focus on orange paint,True,13,17,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
wait1,True,13,18,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour jug in jug,False,13,19,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open closet,False,13,20,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open cupboard,False,13,21,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing red paint in jug,False,13,22,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
mix jug,False,13,23,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
focus on paint in jug,False,13,24,Your task is to use chemistry to create red-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
