action,landmark,variation,order,goal,task_id
open door to hallway,False,9,0,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,9,1,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to art studio,False,9,2,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
go to art studio,False,9,3,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing blue paint in art studio in cup containing nothing,False,9,4,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing yellow paint in art studio in cup containing blue paint in table,False,9,5,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
mix cup containing blue paint and yellow paint,False,9,6,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
focus on green paint,True,9,7,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
wait1,True,9,8,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing green paint in cup containing green paint,False,9,9,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
open cupboard,False,9,10,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing yellow paint in cup containing green paint,False,9,11,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
mix cup containing green paint and yellow paint,False,9,12,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
focus on paint in cup containing yellow-green paint,False,9,13,Your task is to use chemistry to create yellow-green paint,task-5-chemistry-mix-paint-(tertiary-color)
