action,landmark,variation,order,goal,task_id
open door to kitchen,False,23,0,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to kitchen,False,23,1,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,23,2,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,23,3,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to bedroom,False,23,4,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to bedroom,False,23,5,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,23,6,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,23,7,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to workshop,False,23,8,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to workshop,False,23,9,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing red paint in cup containing nothing,False,23,10,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing yellow paint in cup containing red paint,False,23,11,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
mix cup containing red paint and yellow paint,False,23,12,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
focus on orange paint,True,23,13,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
wait1,True,23,14,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing orange paint in cup containing orange paint,False,23,15,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open drawer,False,23,16,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open freezer,False,23,17,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pick up cup containing orange paint,False,23,18,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to hallway,False,23,19,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to hallway,False,23,20,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
open door to art studio,True,23,21,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
go to art studio,True,23,22,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
drop glass cup in inventory,False,23,23,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing orange paint in cup containing orange paint,False,23,24,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
pour cup containing yellow paint in art studio in cup containing orange paint,False,23,25,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
mix cup containing orange paint and yellow paint,False,23,26,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
focus on paint in cup containing yellow-orange paint,False,23,27,Your task is to use chemistry to create yellow-orange paint,task-5-chemistry-mix-paint-(tertiary-color)
