task,variation,eps,Num Plans,Score,BDI Score,RL Score,Num BDI actions,Num RL actions
find-non-living-thing,75,242,0,0.659,0.000,0.659,0.000,50.000
find-non-living-thing,75,242,8,0.749,0.300,0.449,3.333,38.000
find-non-living-thing,75,242,15,0.838,0.580,0.258,6.253,24.000
find-non-living-thing,75,242,23,0.909,0.793,0.115,7.640,13.333
find-non-living-thing,75,242,30,0.980,0.980,0.000,9.187,4.000
melt,9,457,0,0.032,0.000,0.032,0.000,50.000
melt,9,457,4,0.140,0.114,0.026,5.111,44.444
melt,9,457,7,0.356,0.337,0.019,10.889,33.333
melt,9,457,10,0.569,0.559,0.010,17.111,22.222
melt,9,457,13,0.677,0.673,0.003,20.889,16.667
