p,h,output,model
This room is called the living room.,you are in hallway,2,alisawuffles/roberta-large-wanli
You see the agent,you are in hallway,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in hallway,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in hallway,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in hallway,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in hallway,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in hallway,2,alisawuffles/roberta-large-wanli
You see a painting,you are in hallway,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in hallway,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in hallway,2,alisawuffles/roberta-large-wanli
,you are in hallway,2,alisawuffles/roberta-large-wanli
This room is called the living room.,you are in art studio,0,alisawuffles/roberta-large-wanli
You see the agent,you are in art studio,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in art studio,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in art studio,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in art studio,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in art studio,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in art studio,2,alisawuffles/roberta-large-wanli
You see a painting,you are in art studio,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in art studio,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in art studio,2,alisawuffles/roberta-large-wanli
,you are in art studio,2,alisawuffles/roberta-large-wanli
This room is called the living room.,you are in bedroom,0,alisawuffles/roberta-large-wanli
You see the agent,you are in bedroom,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in bedroom,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in bedroom,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in bedroom,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in bedroom,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in bedroom,2,alisawuffles/roberta-large-wanli
You see a painting,you are in bedroom,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in bedroom,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in bedroom,2,alisawuffles/roberta-large-wanli
,you are in bedroom,2,alisawuffles/roberta-large-wanli
This room is called the living room.,you are in greenhouse,2,alisawuffles/roberta-large-wanli
You see the agent,you are in greenhouse,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in greenhouse,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in greenhouse,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in greenhouse,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in greenhouse,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in greenhouse,2,alisawuffles/roberta-large-wanli
You see a painting,you are in greenhouse,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in greenhouse,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in greenhouse,2,alisawuffles/roberta-large-wanli
,you are in greenhouse,2,alisawuffles/roberta-large-wanli
This room is called the living room.,you are in living room,1,alisawuffles/roberta-large-wanli
You see the agent,you are in living room,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in living room,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in living room,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in living room,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in living room,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in living room,2,alisawuffles/roberta-large-wanli
You see a painting,you are in living room,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in living room,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in living room,2,alisawuffles/roberta-large-wanli
,you are in living room,2,alisawuffles/roberta-large-wanli
This room is called the living room.,you are in workshop,2,alisawuffles/roberta-large-wanli
You see the agent,you are in workshop,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in workshop,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in workshop,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in workshop,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in workshop,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in workshop,2,alisawuffles/roberta-large-wanli
You see a painting,you are in workshop,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in workshop,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in workshop,2,alisawuffles/roberta-large-wanli
,you are in workshop,2,alisawuffles/roberta-large-wanli
This room is called the living room.,you are in outside,2,alisawuffles/roberta-large-wanli
You see the agent,you are in outside,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in outside,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in outside,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in outside,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in outside,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in outside,2,alisawuffles/roberta-large-wanli
You see a painting,you are in outside,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in outside,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in outside,2,alisawuffles/roberta-large-wanli
,you are in outside,2,alisawuffles/roberta-large-wanli
This room is called the living room.,you are in foundry,2,alisawuffles/roberta-large-wanli
You see the agent,you are in foundry,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in foundry,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in foundry,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in foundry,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in foundry,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in foundry,2,alisawuffles/roberta-large-wanli
You see a painting,you are in foundry,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in foundry,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in foundry,2,alisawuffles/roberta-large-wanli
,you are in foundry,2,alisawuffles/roberta-large-wanli
This room is called the living room.,you are in bathroom,0,alisawuffles/roberta-large-wanli
You see the agent,you are in bathroom,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are in bathroom,2,alisawuffles/roberta-large-wanli
You see a book shelf (containing A book (Frankenstein) titled Frankenstein by Mary Wollstonecraft Shelley),you are in bathroom,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are in bathroom,2,alisawuffles/roberta-large-wanli
You see a couch. On the couch is: a white pillow.,you are in bathroom,2,alisawuffles/roberta-large-wanli
You see a desk. On the desk is: a drawer.,you are in bathroom,2,alisawuffles/roberta-large-wanli
You see a painting,you are in bathroom,2,alisawuffles/roberta-large-wanli
A door to the hallway (that is open),you are in bathroom,2,alisawuffles/roberta-large-wanli
"In your inventory, you see: an orange ",you are in bathroom,2,alisawuffles/roberta-large-wanli
,you are in bathroom,2,alisawuffles/roberta-large-wanli
This room is called the kitchen.,you are not in workshop,2,alisawuffles/roberta-large-wanli
You see the agent,you are not in workshop,2,alisawuffles/roberta-large-wanli
You see a substance called air,you are not in workshop,2,alisawuffles/roberta-large-wanli
You see a chair. On the chair is: nothing.,you are not in workshop,2,alisawuffles/roberta-large-wanli
"You see a counter. On the counter is: a bowl (containing a red apple, a banana, an orange, a potato), a drawer.",you are not in workshop,2,alisawuffles/roberta-large-wanli
You see a cupboard. The cupboard door is closed.,you are not in workshop,2,alisawuffles/roberta-large-wanli
You see a freezer. The freezer door is closed.,you are not in workshop,2,alisawuffles/roberta-large-wanli
You see a fridge. The fridge door is closed.,you are not in workshop,2,alisawuffles/roberta-large-wanli
You see a glass jar (containing a substance called sodium chloride),you are not in workshop,2,alisawuffles/roberta-large-wanli
